;X;Aorta_ID;Diet;Total_plaque_vol;DESC;ARCH;LSA;LCCA;BCA;Total_plaque_objects;Object_ID;Object_mm3;Major_axis;Minor_axis;Extent;Location;CD45_mm3
116;115;3;ApoE-/- WD;0,583197794163706;0,0139732992574993;0,354400867585187;0,0345860234673437;0,0216212526026637;0,158616351251011;44;28;1,930813770554e-06;3,2659863237109;1,50137666748066;0,375;1;6,43604590184668e-07
117;116;3;ApoE-/- WD;0,583197794163706;0,0139732992574993;0,354400867585187;0,0345860234673437;0,0216212526026637;0,158616351251011;44;29;1,28720918036934e-06;2,82842712474619;0;0,5;1;0
120;119;3;ApoE-/- WD;0,583197794163706;0,0139732992574993;0,354400867585187;0,0345860234673437;0,0216212526026637;0,158616351251011;44;32;1,48029055742474e-05;6,43666847561811;4,24108596661244;0,425925925925926;1;0
122;121;3;ApoE-/- WD;0,583197794163706;0,0139732992574993;0,354400867585187;0,0345860234673437;0,0216212526026637;0,158616351251011;44;34;0,00063008889379079;31,8811463933418;15,5709519148667;0,141269841269841;2;0,00012679010426638
123;122;3;ApoE-/- WD;0,583197794163706;0,0139732992574993;0,354400867585187;0,0345860234673437;0,0216212526026637;0,158616351251011;44;35;8,88174334454842e-05;14,2267979928378;8,71945790352703;0,228099173553719;1;5,14883672147734e-06
124;123;3;ApoE-/- WD;0,583197794163706;0,0139732992574993;0,354400867585187;0,0345860234673437;0,0216212526026637;0,158616351251011;44;36;6,43604590184668e-07;0;0;1;1;0
125;124;3;ApoE-/- WD;0,583197794163706;0,0139732992574993;0,354400867585187;0,0345860234673437;0,0216212526026637;0,158616351251011;44;37;0,000162188356726536;27,0219587386039;15,3976158570307;0,111801242236025;2;0
126;125;3;ApoE-/- WD;0,583197794163706;0,0139732992574993;0,354400867585187;0,0345860234673437;0,0216212526026637;0,158616351251011;44;38;0,0021451340990855;50,3524543385525;28,1700949782741;0,138138262599469;2;4,76267396736654e-05
127;126;3;ApoE-/- WD;0,583197794163706;0,0139732992574993;0,354400867585187;0,0345860234673437;0,0216212526026637;0,158616351251011;44;39;3,86162754110801e-06;3,82970843102535;2;1;2;0
128;127;3;ApoE-/- WD;0,583197794163706;0,0139732992574993;0,354400867585187;0,0345860234673437;0,0216212526026637;0,158616351251011;44;40;0,00118873767807108;56,6563035648674;18,9203020615109;0,132734459216673;2;0
129;128;3;ApoE-/- WD;0,583197794163706;0,0139732992574993;0,354400867585187;0,0345860234673437;0,0216212526026637;0,158616351251011;44;41;2,70313927877561e-05;7,30115076633169;5,26003247388436;0,35;2;5,79244131166201e-06
130;129;3;ApoE-/- WD;0,583197794163706;0,0139732992574993;0,354400867585187;0,0345860234673437;0,0216212526026637;0,158616351251011;44;42;4,18342983620034e-05;17,2695701132828;5,84614138467418;0,103174603174603;2;0
131;130;3;ApoE-/- WD;0,583197794163706;0,0139732992574993;0,354400867585187;0,0345860234673437;0,0216212526026637;0,158616351251011;44;43;5,14883672147734e-06;4,41588043316392;2,73861278752583;0,888888888888889;2;0
132;131;3;ApoE-/- WD;0,583197794163706;0,0139732992574993;0,354400867585187;0,0345860234673437;0,0216212526026637;0,158616351251011;44;44;0,000173129634759676;17,8478014938923;8,9157187964493;0,21015625;2;2,3169765246648e-05
135;134;4;ApoE-/- WD;0,750124367883181;0,0390700166471603;0,545702677948727;0,00184070912792815;0,028014176996968;0,135496787162398;51;3;0,62262951659055;441,906700290888;196,878010235769;0,0365824744002847;2;0,113238366015451
137;136;4;ApoE-/- WD;0,750124367883181;0,0390700166471603;0,545702677948727;0,00184070912792815;0,028014176996968;0,135496787162398;51;5;0,00623266685134833;53,9283599061444;30,1546480950941;0,210512586409287;2;0,00115462663479129
138;137;4;ApoE-/- WD;0,750124367883181;0,0390700166471603;0,545702677948727;0,00184070912792815;0,028014176996968;0,135496787162398;51;6;7,40145278712368e-05;16,8576817678862;10,738314247006;0,115;2;9,01046426258535e-06
139;138;4;ApoE-/- WD;0,750124367883181;0,0390700166471603;0,545702677948727;0,00184070912792815;0,028014176996968;0,135496787162398;51;7;1,28720918036934e-06;2;0;1;2;0
140;139;4;ApoE-/- WD;0,750124367883181;0,0390700166471603;0,545702677948727;0,00184070912792815;0,028014176996968;0,135496787162398;51;8;0,000139662196070073;13,8958962039261;9,79486154006796;0,267901234567901;2;0,00011584882623324
141;140;4;ApoE-/- WD;0,750124367883181;0,0390700166471603;0,545702677948727;0,00184070912792815;0,028014176996968;0,135496787162398;51;9;0,00151504520529471;28,7193158302781;19,5097175056277;0,231601731601732;0;0
142;141;4;ApoE-/- WD;0,750124367883181;0,0390700166471603;0,545702677948727;0,00184070912792815;0,028014176996968;0,135496787162398;51;10;3,21802295092334e-06;4,00485146663161;2,01749922231836;0,416666666666667;2;0
143;142;4;ApoE-/- WD;0,750124367883181;0,0390700166471603;0,545702677948727;0,00184070912792815;0,028014176996968;0,135496787162398;51;11;9,39662701669615e-05;12,6894272664568;7,76446457329132;0,245791245791246;2;0
145;144;4;ApoE-/- WD;0,750124367883181;0,0390700166471603;0,545702677948727;0,00184070912792815;0,028014176996968;0,135496787162398;51;13;0,265474021359372;362,083071442874;125,509257671787;0,0980305480375353;2;0,0486172471379596
146;145;4;ApoE-/- WD;0,750124367883181;0,0390700166471603;0,545702677948727;0,00184070912792815;0,028014176996968;0,135496787162398;51;14;2,51005790172021e-05;10,5948539628703;4,17454445649696;0,180555555555556;1;0
148;147;4;ApoE-/- WD;0,750124367883181;0,0390700166471603;0,545702677948727;0,00184070912792815;0,028014176996968;0,135496787162398;51;16;0,00378825661782696;52,5182046654541;25,0111821722147;0,151074151074151;1;0,00316396016534783
149;148;4;ApoE-/- WD;0,750124367883181;0,0390700166471603;0,545702677948727;0,00184070912792815;0,028014176996968;0,135496787162398;51;17;0,00174030681185934;32,3786495387816;21,8982256088907;0,323754789272031;2;0,00168238239874272
150;149;4;ApoE-/- WD;0,750124367883181;0,0390700166471603;0,545702677948727;0,00184070912792815;0,028014176996968;0,135496787162398;51;18;2,51005790172021e-05;8,61859383848663;5,03708184866937;0,278571428571429;1;0
151;150;4;ApoE-/- WD;0,750124367883181;0,0390700166471603;0,545702677948727;0,00184070912792815;0,028014176996968;0,135496787162398;51;19;1,41593009840627e-05;7,52798331214637;4,46595929998021;0,22;4;0
152;151;4;ApoE-/- WD;0,750124367883181;0,0390700166471603;0,545702677948727;0,00184070912792815;0,028014176996968;0,135496787162398;51;20;0,000382944731159878;28,1277857724013;14,2150049905962;0,144980506822612;4;6,43604590184668e-07
153;152;4;ApoE-/- WD;0,750124367883181;0,0390700166471603;0,545702677948727;0,00184070912792815;0,028014176996968;0,135496787162398;51;21;3,99034845914494e-05;10,4994571308578;6,11285145173362;0,246031746031746;1;0
154;153;4;ApoE-/- WD;0,750124367883181;0,0390700166471603;0,545702677948727;0,00184070912792815;0,028014176996968;0,135496787162398;51;22;0,0130439342292727;62,7242701217848;43,5460180914069;0,235159658405272;1;0,00532968961131924
155;154;4;ApoE-/- WD;0,750124367883181;0,0390700166471603;0,545702677948727;0,00184070912792815;0,028014176996968;0,135496787162398;51;23;0,00244569744270174;66,9447130588065;17,4582413058547;0,104697616751619;4;3,47546478699721e-05
156;155;4;ApoE-/- WD;0,750124367883181;0,0390700166471603;0,545702677948727;0,00184070912792815;0,028014176996968;0,135496787162398;51;24;0,000843122013141915;23,9082800594427;16,7891477210491;0,348219032429559;1;0,000664199937070577
158;157;4;ApoE-/- WD;0,750124367883181;0,0390700166471603;0,545702677948727;0,00184070912792815;0,028014176996968;0,135496787162398;51;26;0,00358294675355805;82,1719502189705;29,1069870871799;0,0734742899377046;4;2,57441836073867e-05
